seconds;microseconds;speed;groundsteering;
1584542903;873423;0;0;
1584542903;973577;0;0;
1584542904;73153;0;0;
1584542901;976078;0;0;
1584542902;674047;0;0;
1584542902;775615;0;0;
1584542902;875941;0;0;
1584542902;973341;0;0;
1584542903;73559;0;0;
1584542903;173470;0;0;
1584542903;275335;0;0;
1584542903;373892;0;0;
1584542903;473243;0;0;
1584542903;573217;0;0;
1584542903;676744;0;0;
1584542903;775273;0;0;
1584542903;873423;0;0;
1584542903;973577;0;0;
1584542904;73153;0;0;
1584542904;173174;0;0;
1584542904;275508;0;0;
1584542904;373184;0;0;
1584542904;475625;0;0;
1584542904;573379;0;0;
1584542904;673871;0;0;
1584542904;775115;0;0;
1584542904;873158;0;0;
1584542904;978991;0;0;
1584542905;73144;0;0;
1584542905;173099;0;0;
1584542905;279460;0;0;
1584542905;376973;0;0;
1584542905;473325;0;0;
1584542905;572814;0;0;
1584542905;673642;0;0;
1584542905;775478;0;0;
1584542905;872995;0;0;
1584542905;972813;0;0;
1584542906;72914;0;0;
1584542906;175966;0;0;
1584542906;275501;0;0;
1584542906;373155;0;0;
1584542906;472786;0;0;
1584542906;572935;0;0;
1584542906;673772;0;0;
1584542906;774913;0;0;
1584542906;872686;0;0;
1584542906;972834;0;0;
1584542907;72776;0;0;
1584542907;172555;0;0;
1584542907;274935;0;0;
1584542907;372737;0;0;
1584542907;472599;0;0;
1584542907;573295;0;0;
1584542907;676450;0;0;
1584542907;775069;0;0;
1584542907;872893;0;0;
1584542907;972860;0;0;
1584542908;72412;0;0;
1584542908;172598;0;0;
1584542908;275075;0;0;
1584542908;372625;0;0;
1584542908;472654;0;0;
1584542908;572519;0;0;
1584542908;673095;0;0;
1584542908;774540;0;0;
1584542908;873035;0;0;
1584542908;972983;0;0;
1584542909;72821;0;0;
1584542909;172487;0;0;
1584542909;275191;0;0;
1584542909;372678;0;0;
1584542909;472096;0;0;
1584542909;572446;0;0;
1584542909;672895;0;0;
1584542909;774217;0;0;
1584542909;871989;0;0;
1584542909;972127;0;0;
1584542910;71965;0;0;
1584542910;171937;0;0;
1584542910;274253;0;0;
1584542910;371900;0;0;
1584542910;471906;0;0;
1584542910;572090;0;0;
1584542910;672539;0;0;
1584542910;773997;0;0;
1584542910;872002;0;0;
1584542910;971908;0;0;
1584542911;72029;0;0;
1584542911;171945;0;0;
1584542911;277650;0;0;
1584542911;372417;0;0;
1584542911;471938;0;0;
1584542911;571664;0;0;
1584542911;672751;0;0;
1584542911;774742;0;0;
1584542911;871626;0;0;
1584542911;971804;0;0;
1584542912;74268;0;0;
1584542912;171933;0;0;
1584542912;273797;0;0;
1584542912;371724;0;0;
1584542912;471506;0;0;
1584542912;571466;0;0;
1584542912;672387;0;0;
1584542912;773661;0;0;
1584542912;871571;0;0;
1584542912;971582;0;0;
1584542913;71420;0;0;
1584542913;171331;0;0;
1584542913;273678;0;0;
1584542913;371675;0;0;
1584542913;471300;0;0;
1584542913;573831;0;0;
1584542913;673214;0;0;
1584542913;773930;0;0;
1584542913;871575;0;0;
1584542913;971284;0;0;
1584542914;71197;0;0;
1584542914;171330;0;0;
1584542914;273974;0;0;
1584542914;371134;0;0;
1584542914;471366;0;0;
1584542914;571075;0;0;
1584542914;671676;0;0;
1584542914;773329;0;0;
1584542914;871099;0;0;
1584542914;971061;0;0;
1584542915;71472;0;0;
1584542915;173995;0;0;
1584542915;273165;0;0;
1584542915;371381;0;0;
1584542915;471166;0;0;
1584542915;571068;0;0;
1584542915;672057;0;0;
1584542915;772789;0;0;
1584542915;870931;0;0;
1584542915;973716;0;0;
1584542916;71023;0;0;
1584542916;170757;0;0;
1584542916;273052;0;0;
1584542916;370899;0;0;
1584542916;470706;0;0;
1584542916;571108;0;0;
1584542916;671419;0;0;
1584542916;776562;0;0;
1584542916;871380;0;0;
1584542916;970804;0;0;
1584542917;70592;0;0;
1584542917;171092;0;0;
1584542917;272368;0;0;
1584542917;370572;0;0;
