seconds;microseconds;left_x;right_x;groundsteering;
1584543173;21183;-1;488;-0;
1584543173;120899;130;503;0.161943;
1584543173;223060;183;531;0.188939;
1584543173;321119;122;581;-0;
1584543173;420890;174;554;-0;
1584543173;524239;203;613;-0;
1584543173;621860;163;-1;-0;
1584543173;723554;149;638;-0;
1584543173;820762;154;-1;-0.104958;
1584543173;921092;107;-1;-0;
1584543174;20807;15;-1;-0;
1584543174;120779;218;-1;-0.125954;
1584543174;222990;244;-1;-0.122953;
1584543174;323784;153;-1;-0.116952;
1584543174;420641;88;-1;-0.0989571;
1584543174;520794;297;-1;-0.0779708;
1584543174;621714;256;-1;-0.0779708;
1584543174;722903;159;-1;-0.0779708;
1584543174;820805;97;-1;-0.0779708;
1584543174;920746;398;-1;-0.0779708;
1584543175;21081;221;-1;-0.0779708;
1584543175;123766;155;-1;-0.014994;
1584543175;223100;96;-1;-0;
1584543175;320656;-1;-1;-0;
1584543175;420814;273;-1;-0;
1584543175;520444;263;-1;-0.116952;
1584543175;621161;185;-1;-0.0689691;
1584543175;722754;175;-1;-0;
1584543175;820398;51;-1;-0;
1584543175;920619;334;-1;-0;
1584543176;20691;388;-1;-0.0119935;
1584543176;120545;588;-1;-0.0119935;
1584543176;222857;319;-1;-0.122953;
1584543176;320527;310;-1;-0.140948;
1584543176;420267;517;-1;-0.0599762;
1584543176;520465;493;-1;-0.116952;
1584543176;624285;473;-1;-0.287896;
1584543176;722994;410;-1;-0.290888;
1584543176;820412;390;-1;-0.290888;
1584543176;920366;331;-1;-0.290888;
1584543177;20677;427;-1;-0.290888;
1584543177;120259;387;-1;-0.251907;
1584543177;222172;330;-1;-0.00299171;
1584543177;320166;215;-1;-0;
1584543177;423233;528;-1;-0.158942;
1584543177;520823;52;-1;-0.0899643;
1584543177;620773;516;-1;-0;
1584543177;721941;449;-1;-0;
1584543177;820558;438;-1;-0.116952;
1584543177;919971;441;-1;-0.113951;
1584543178;19932;383;-1;-0;
1584543178;120339;383;-1;-0.0209863;
1584543178;225735;383;-1;-0.278895;
1584543178;320288;168;-1;-0.254908;
1584543178;420260;134;-1;-0;
1584543178;520023;31;-1;-0;
1584543178;620489;276;-1;-0;
1584543178;721862;194;-1;-0;
1584543178;820087;158;-1;-0;
1584543178;920692;153;-1;-0;
1584543179;19919;111;-1;-0.0599762;
1584543179;119704;239;-1;-0;
1584543179;221614;239;-1;-0;
1584543179;319866;239;-1;-0;
1584543179;419918;211;-1;-0;
1584543179;519623;211;-1;-0;
